timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
2021-02-17,49133.45,49566.66,49133.44,49410.84,49133.45,49566.66,49133.44,49410.84,1802.614256,1802.614256
2021-02-16,47911.1,50689.18,47003.62,49133.45,47911.1,50689.18,47003.62,49133.45,88813.266298,88813.266298
2021-02-15,48580.47,49010.92,45570.79,47911.1,48580.47,49010.92,45570.79,47911.1,79398.156784,79398.156784
2021-02-14,47156.78,49707.43,47014.17,48577.79,47156.78,49707.43,47014.17,48577.79,73735.475533,73735.475533
2021-02-13,47298.15,48150.0,46202.53,47153.69,47298.15,48150.0,46202.53,47153.69,63768.097399,63768.097399
2021-02-12,47968.66,48985.8,46125.0,47287.6,47968.66,48985.8,46125.0,47287.6,85870.035697,85870.035697
2021-02-11,44807.58,48678.9,43994.02,47969.51,44807.58,48678.9,43994.02,47969.51,89561.081454,89561.081454
2021-02-10,46420.42,47310.0,43727.0,44807.58,46420.42,47310.0,43727.0,44807.58,97154.1822,97154.1822
2021-02-09,46374.86,48142.19,44961.09,46420.42,46374.86,48142.19,44961.09,46420.42,115499.861712,115499.861712
2021-02-08,38795.69,46794.45,37988.89,46374.87,38795.69,46794.45,37988.89,46374.87,138597.536914,138597.536914
2021-02-07,39181.01,39700.0,37351.0,38795.69,39181.01,39700.0,37351.0,38795.69,84363.679763,84363.679763
2021-02-06,38289.32,40955.51,38215.94,39186.94,38289.32,40955.51,38215.94,39186.94,98757.311183,98757.311183
2021-02-05,36936.65,38310.12,36570.0,38290.24,36936.65,38310.12,36570.0,38290.24,66681.334275,66681.334275
2021-02-04,37620.26,38708.27,36161.95,36936.66,37620.26,38708.27,36161.95,36936.66,92080.735898,92080.735898
2021-02-03,35472.71,37662.63,35362.38,37618.87,35472.71,37662.63,35362.38,37618.87,80784.333663,80784.333663
2021-02-02,33517.09,35984.33,33418.0,35466.24,33517.09,35984.33,33418.0,35466.24,78056.65988,78056.65988
2021-02-01,33092.97,34717.27,32296.16,33526.37,33092.97,34717.27,32296.16,33526.37,82718.276882,82718.276882
2021-01-31,34262.89,34342.69,32171.67,33092.98,34262.89,34342.69,32171.67,33092.98,68742.280384,68742.280384
2021-01-30,34246.28,34933.0,32825.0,34262.88,34246.28,34933.0,32825.0,34262.88,84889.68134,84889.68134
2021-01-29,33368.18,38531.9,31915.4,34252.2,33368.18,38531.9,31915.4,34252.2,231827.005626,231827.005626
